Country Name,China,China,China,Finland,Finland,Finland
Country Code,CHN,CHN,CHN,FIN,FIN,FIN
Series Name,Agriculture,Industry,Services,Agriculture,Industry,Services
1991,55.30599976,27.32799911,17.36599922,8.890999794,28.83099937,62.27799988
1992,53.68799973,27.85499954,18.45700073,9.024999619,27.48399925,63.49100113
1993,51.56999969,29.18899918,19.24099922,8.904999733,26.71500015,64.37999725
1994,50.50299835,28.90699959,20.59000015,8.734000206,26.34900093,64.91699982
1995,49.44599915,29.00300026,21.5510006,7.757999897,27.59700012,64.64499664
1996,48.34400177,29.08699989,22.56900024,7.893000126,27.08600044,65.01999664
1997,47.16199875,28.77899933,24.05900002,7.777999878,27.41900063,64.8030014
1998,46.46099854,27.99600029,25.54299927,7.113999844,28.25600052,64.62999725
1999,45.25099945,27.82999992,26.91900063,6.381000042,27.72999954,65.88999939
2000,43.79000092,28.12100029,28.08799934,6.208000183,27.95199966,65.83999634
2001,42.625,28.05200005,29.32299995,5.836999893,27.07900047,67.08399963
2002,41.27999878,28.03800011,30.68199921,5.52699995,27.14699936,67.3259964
2003,39.24700165,29.38999939,31.36300087,5.27699995,26.69799995,68.02600098
2004,37.95999908,29.36800003,32.67200089,5.008999825,26.06999969,68.92099762
2005,35.82500076,29.61800003,34.55599976,4.824999809,25.80599976,69.3690033
2006,33.50400162,29.94599915,36.54899979,4.670000076,25.69199944,69.63800049
2007,31.24399948,29.95400047,38.80199814,4.537000179,25.71800041,69.7460022
2008,29.54599953,30.06900024,40.38499832,4.520999908,25.14900017,70.33100128
2009,27.84499931,30.09900093,42.05599976,4.626999855,23.94499969,71.42900085
2010,26.23399925,30.15399933,43.61299896,4.43900013,23.29999924,72.26000214
2011,24.50699997,29.96500015,45.52799988,4.230999947,22.99500084,72.77500153
2012,23.16900063,29.48399925,47.34799957,4.159999847,22.78499985,73.05500031
2013,21.9279995,28.83399963,49.23799896,4.131999969,22.84700012,73.01999664
2014,20.72999954,28.06399918,51.20600128,4.256000042,21.89500046,73.84899902
2015,19.54800034,27.10199928,53.35100174,4.223999977,21.70400047,74.0719986
2016,18.35700035,26.79100037,54.85200119,3.86500001,22.15600014,73.97899628